datetime,consumption_kWh,hour,day_of_week,month,temp_celsius,humidity,is_holiday,is_weekend,is_business_hours,is_peak_hours,temp_hot,consumption_lag_24h,consumption_lag_168h
2015-01-08 05:00:00,22551000.0,5,3,1,1.6942000000000235,86.6,0,0,0,0,0,26992000.0,25385000.0
2015-01-08 06:00:00,22543000.0,6,3,1,1.7782000000000266,86.4,0,0,0,0,0,28625000.0,24382000.0
2015-01-08 07:00:00,24042000.0,7,3,1,1.515137500000037,86.4,0,0,0,0,0,31015000.0,22734000.0
2015-01-08 08:00:00,25932000.0,8,3,1,3.1728687500000206,87.4,0,0,0,0,0,33276000.0,21286000.0
2015-01-08 09:00:00,27664000.0,9,3,1,5.588500000000067,77.4,0,0,1,0,0,34221000.0,20264000.0
2015-01-08 10:00:00,28448000.0,10,3,1,5.988268750000032,74.2,0,0,1,0,0,34796000.0,19905000.0
2015-01-08 11:00:00,28881000.0,11,3,1,10.497531250000009,71.2,0,0,1,0,0,35535000.0,20010000.0
2015-01-08 12:00:00,29329000.0,12,3,1,10.700500000000034,69.6,0,0,1,0,0,35752000.0,20377000.0
2015-01-08 13:00:00,29026000.0,13,3,1,12.628800000000012,61.6,0,0,1,0,0,35605000.0,20094000.0
2015-01-08 14:00:00,28237000.0,14,3,1,13.05400000000003,60.2,0,0,1,0,0,36020000.0,20637000.0
2015-01-08 15:00:00,27868000.0,15,3,1,11.376450000000034,65.6,0,0,1,0,0,36066000.0,22250000.0
2015-01-08 16:00:00,27654000.0,16,3,1,10.769400000000019,69.4,0,0,1,0,0,36195000.0,23547000.0
2015-01-08 17:00:00,27507000.0,17,3,1,9.065800000000024,75.0,0,0,1,1,0,35739000.0,24133000.0
2015-01-08 18:00:00,27544000.0,18,3,1,7.444300000000055,79.4,0,0,0,1,0,35188000.0,24713000.0
2015-01-08 19:00:00,27578000.0,19,3,1,5.315400000000011,78.6,0,0,0,1,0,34470000.0,24672000.0
2015-01-08 20:00:00,28222000.0,20,3,1,5.510400000000061,76.6,0,0,0,1,0,33716000.0,23528000.0
2015-01-08 21:00:00,28221000.0,21,3,1,5.139400000000023,78.6,0,0,0,1,0,32697000.0,23118000.0
2015-01-08 22:00:00,26436000.0,22,3,1,4.138400000000047,77.4,0,0,0,0,0,30477000.0,23606000.0
2015-01-08 23:00:00,27485000.0,23,3,1,3.957400000000007,76.6,0,0,0,0,0,26788000.0,26447000.0
2015-01-09 00:00:00,25750000.0,0,4,1,3.5988000000000397,77.2,0,0,0,0,0,25146000.0,28020000.0
2015-01-09 01:00:00,24760000.0,1,4,1,3.368600000000015,74.8,0,0,0,0,0,23889000.0,29014000.0
2015-01-09 02:00:00,24188000.0,2,4,1,3.5892000000000053,73.2,0,0,0,0,0,23046000.0,29571000.0
